lat,lon,satelite,data,cidade,estado,pais
2.44487,-59.47983,AQUA_M-T,2026-03-27 19:28:00,Bonfim,Roraima,Brazil
-19.12652,-56.23443,AQUA_M-T,2026-03-27 19:19:00,Miranda,Mato Grosso do Sul,Brazil
2.58172,-60.09694,AQUA_M-T,2026-03-27 19:28:00,Boa Vista,Roraima,Brazil
3.43058,-59.97008,AQUA_M-T,2026-03-27 19:28:00,Bonfim,Roraima,Brazil
3.41929,-59.97961,AQUA_M-T,2026-03-27 19:28:00,Bonfim,Roraima,Brazil
2.58323,-60.08639,AQUA_M-T,2026-03-27 19:28:00,Boa Vista,Roraima,Brazil
3.45954,-61.37779,AQUA_M-T,2026-03-27 19:28:00,Alto Alegre,Roraima,Brazil
2.93016,-60.17224,AQUA_M-T,2026-03-27 19:28:00,Boa Vista,Roraima,Brazil
2.66421,-60.50184,AQUA_M-T,2026-03-27 19:28:00,Boa Vista,Roraima,Brazil
2.92657,-60.12884,AQUA_M-T,2026-03-27 19:28:00,Bonfim,Roraima,Brazil
2.84787,-60.1759,AQUA_M-T,2026-03-27 19:28:00,Boa Vista,Roraima,Brazil
2.81403,-60.27696,AQUA_M-T,2026-03-27 19:28:00,Boa Vista,Roraima,Brazil
-8.6339,-69.45898,NPP-375,2026-03-27 18:51:00,Manoel Urbano,Acre,Brazil
